IDINDEX,LATITUDE,LONGITUDE,MASL,SECONDS,STEPLENGTH,DATETIME,TrailRank
1500320,-15.20543,-72.95084,2552.942,3,1.542717,2007/07/15 12:17:34+00,0
1500321,-15.20544,-72.95083,2552.837,3,1.074647,2007/07/15 12:17:37+00,0
1500322,-15.20544,-72.95082,2552.749,3,1.542644,2007/07/15 12:17:40+00,0
1500323,-15.20545,-72.95081,2552.666,3,2.417512,2007/07/15 12:17:43+00,0
1500324,-15.20546,-72.95079,2552.832,3,5.373436,2007/07/15 12:17:46+00,0
1500325,-15.20546,-72.95074,2556.428,3,1.074747,2007/07/15 12:17:49+00,0
1500326,-15.20546,-72.95073,2557.194,3,1.542648,2007/07/15 12:17:52+00,0
1500327,-15.20547,-72.95072,2557.382,3,2.417554,2007/07/15 12:17:55+00,0
1500328,-15.20548,-72.9507,2557.47,3,4.62801,2007/07/15 12:17:58+00,0
1500329,-15.20551,-72.95067,2557.68,3,3.224042,2007/07/15 12:18:01+00,0
1500330,-15.20551,-72.95064,2557.901,3,4.438949,2007/07/15 12:18:04+00,0
1500331,-15.20552,-72.9506,2559.185,3,4.438875,2007/07/15 12:18:07+00,0
1500332,-15.20551,-72.95056,2559.78,3,2.417599,2007/07/15 12:18:10+00,0
1500333,-15.2055,-72.95054,2560.562,3,2.149293,2007/07/15 12:18:13+00,0
1500334,-15.2055,-72.95052,2560.725,3,2.149394,2007/07/15 12:18:16+00,0
1500335,-15.2055,-72.9505,2560.876,3,2.149394,2007/07/15 12:18:19+00,0
1500336,-15.2055,-72.95048,2561.03,3,4.627941,2007/07/15 12:18:22+00,0
1500337,-15.20553,-72.95045,2562.661,3,3.408777,2007/07/15 12:18:25+00,0
1500338,-15.20554,-72.95042,2563.089,3,3.224042,2007/07/15 12:18:28+00,0
1500339,-15.20554,-72.95039,2562.883,3,3.408714,2007/07/15 12:18:31+00,0
1500340,-15.20553,-72.95036,2561.787,3,2.417554,2007/07/15 12:18:34+00,0
1500341,-15.20552,-72.95034,2560.18,3,1.542717,2007/07/15 12:18:37+00,0
1500342,-15.20553,-72.95033,2559.815,3,4.298689,2007/07/15 12:18:40+00,0
1500343,-15.20553,-72.95029,2558.92,3,2.46053,2007/07/15 12:18:43+00,0
1500344,-15.20555,-72.95028,2558.994,3,2.460621,2007/07/15 12:18:46+00,0
1500345,-15.20557,-72.95027,2559.299,3,3.408745,2007/07/15 12:18:49+00,0
1500346,-15.20556,-72.95024,2559.594,3,4.835114,2007/07/15 12:18:52+00,0
1500347,-15.20558,-72.9502,2559.587,3,1.542644,2007/07/15 12:18:55+00,0
1500348,-15.20559,-72.95019,2560.068,3,2.149394,2007/07/15 12:18:58+00,0
1500349,-15.20559,-72.95017,2560.752,3,3.408683,2007/07/15 12:19:01+00,0
1500350,-15.2056,-72.95014,2561.176,3,3.085365,2007/07/15 12:19:04+00,0
1500351,-15.20562,-72.95012,2563.497,3,2.149394,2007/07/15 12:19:07+00,0
1500352,-15.20562,-72.9501,2565.24,3,2.417466,2007/07/15 12:19:10+00,0
1500353,-15.20563,-72.95008,2565.237,3,1.542717,2007/07/15 12:19:13+00,0
1500354,-15.20564,-72.95007,2565.29,3,3.085293,2007/07/15 12:19:16+00,0
1500355,-15.20566,-72.95005,2566.122,3,4.298689,2007/07/15 12:19:19+00,0
1500356,-15.20566,-72.95001,2569.61,3,3.085293,2007/07/15 12:19:22+00,0
1500357,-15.20568,-72.94999,2570.233,3,3.408716,2007/07/15 12:19:25+00,0
1500358,-15.20569,-72.94996,2571.41,3,3.408777,2007/07/15 12:19:28+00,0
1500359,-15.2057,-72.94993,2571.972,3,3.408716,2007/07/15 12:19:31+00,0
1500360,-15.20571,-72.9499,2572.479,3,5.811452,2007/07/15 12:19:34+00,0
1500361,-15.20573,-72.94985,2573.662,3,2.149393,2007/07/15 12:19:37+00,0
1500362,-15.20573,-72.94983,2575.193,3,2.149294,2007/07/15 12:19:40+00,0
1500363,-15.20573,-72.94981,2575.683,3,2.149394,2007/07/15 12:19:43+00,0
1500364,-15.20573,-72.94979,2575.781,3,7.522831,2007/07/15 12:19:46+00,0
1500365,-15.20573,-72.94972,2576.936,3,4.835109,2007/07/15 12:19:49+00,0
1500366,-15.20571,-72.94968,2579.16,3,3.408714,2007/07/15 12:19:52+00,0
1500367,-15.2057,-72.94965,2580.219,3,2.149394,2007/07/15 12:19:55+00,0
1500368,-15.2057,-72.94963,2581.262,3,5.486228,2007/07/15 12:19:58+00,0
1500369,-15.20569,-72.94958,2582.752,3,3.910702,2007/07/15 12:20:01+00,0
1500370,-15.20571,-72.94955,2582.592,3,1.074647,2007/07/15 12:20:04+00,0
1500371,-15.20571,-72.94954,2582.313,3,0,2007/07/15 12:20:07+00,0
1500372,-15.20571,-72.94954,2582.138,3,3.408714,2007/07/15 12:20:10+00,0
